P_atm,Tw[K],B'c,hw[MJ/kg],N,O,NO,N2,O2,Mo,MoO,MoO2,MoO3,Mo2O6,Mo3O9,Mo4O12,Mo5O15,Mo(cr),Mo(L)
0.001,3.000000e+02,4.656580e-01,-2.203000e+00,1.573590e-78,1.308110e-73,4.931650e-50,9.657680e-01,7.793260e-69,2.278930e-104,1.111240e-89,4.991610e-64,4.587340e-44,8.096810e-26,1.112600e-12,1.120130e-05,3.422080e-02,1.000000e+00,0.000000e+00
0.001,3.250000e+02,4.656580e-01,-2.183420e+00,3.378600e-72,2.675990e-67,7.722670e-46,9.657630e-01,6.858610e-63,1.501450e-95,6.490290e-82,2.705910e-58,4.968320e-40,2.219690e-23,2.103980e-11,3.582760e-05,3.420090e-02,1.000000e+00,0.000000e+00
0.001,3.500000e+02,4.656580e-01,-2.163620e+00,9.074370e-67,6.891850e-62,3.040710e-42,9.657510e-01,8.523700e-58,5.425780e-88,2.935930e-75,2.204420e-53,1.416150e-36,2.707950e-21,2.600700e-10,9.678730e-05,3.415170e-02,1.000000e+00,0.000000e+00
0.001,3.750000e+02,4.656580e-01,-2.143610e+00,4.619130e-62,3.379830e-57,3.966240e-39,9.657260e-01,2.211490e-53,1.921950e-81,1.715220e-69,3.943980e-49,1.387730e-33,1.728890e-19,2.287070e-09,2.282700e-04,3.404560e-02,1.000000e+00,0.000000e+00
0.001,4.000000e+02,4.656580e-01,-2.123360e+00,6.085590e-58,4.304920e-53,2.107720e-36,9.656770e-01,1.606080e-49,1.031530e-75,1.899140e-64,2.059440e-45,5.711580e-31,6.521310e-18,1.524150e-08,4.815790e-04,3.384130e-02,1.000000e+00,0.000000e+00
0.001,4.250000e+02,4.656580e-01,-2.102810e+00,2.633560e-54,1.805700e-49,5.345380e-34,9.655910e-01,4.085580e-46,1.170330e-70,5.343530e-60,3.900610e-42,1.150480e-28,1.593860e-16,8.074190e-08,9.253080e-04,3.348320e-02,1.000000e+00,0.000000e+00
0.001,4.500000e+02,4.656580e-01,-2.081930e+00,4.505990e-51,3.000080e-46,7.316400e-32,9.654530e-01,4.333800e-43,3.636790e-66,4.799520e-56,3.172830e-39,1.277170e-26,2.711120e-15,3.527120e-07,1.640920e-03,3.290560e-02,1.000000e+00,0.000000e+00
0.001,4.750000e+02,4.656580e-01,-2.060640e+00,3.528650e-48,2.284170e-43,5.955730e-30,9.652460e-01,2.199710e-40,3.797740e-62,1.647630e-52,1.266360e-36,8.580370e-25,3.394480e-14,1.307240e-06,2.712450e-03,3.204050e-02,1.000000e+00,0.000000e+00
0.001,5.000000e+02,4.656580e-01,-2.038920e+00,1.421850e-45,8.955280e-41,3.116120e-28,9.649550e-01,5.963770e-38,1.569560e-58,2.496660e-49,2.758690e-34,3.759220e-23,3.271000e-13,4.203630e-06,4.210360e-03,3.083010e-02,1.000000e+00,0.000000e+00
0.001,5.250000e+02,4.656580e-01,-2.016720e+00,3.241130e-43,1.986930e-38,1.115910e-26,9.645730e-01,9.440670e-36,2.930880e-55,1.876380e-46,3.575160e-32,1.140920e-21,2.514570e-12,1.193970e-05,6.172010e-03,2.924260e-02,1.000000e+00,0.000000e+00
0.001,5.500000e+02,4.656580e-01,-1.994050e+00,4.516850e-41,2.695210e-36,2.879530e-25,9.641000e-01,9.385400e-34,2.755770e-52,7.694270e-44,2.957550e-30,2.520170e-20,1.588060e-11,3.039540e-05,8.584070e-03,2.728520e-02,1.000000e+00,0.000000e+00
0.001,5.750000e+02,4.656580e-01,-1.970950e+00,4.103040e-39,2.382550e-34,5.586700e-24,9.635460e-01,6.223490e-32,1.426880e-49,1.862650e-41,1.655410e-28,4.220560e-19,8.442530e-11,7.020930e-05,1.137360e-02,2.501000e-02,1.000000e+00,0.000000e+00
0.001,6.000000e+02,4.656580e-01,-1.947470e+00,2.562780e-37,1.447670e-32,8.443930e-23,9.629290e-01,2.894610e-30,4.383590e-47,2.842900e-39,6.581460e-27,5.545200e-18,3.856650e-10,1.487170e-04,1.441260e-02,2.250980e-02,1.000000e+00,0.000000e+00
0.001,6.250000e+02,4.656580e-01,-1.923700e+00,1.151190e-35,6.323220e-31,1.024390e-21,9.622700e-01,9.851930e-29,8.507110e-45,2.891080e-37,1.936250e-25,5.883120e-17,1.540700e-09,2.915980e-04,1.753690e-02,1.990130e-02,1.000000e+00,0.000000e+00
0.001,6.500000e+02,4.656580e-01,-1.899700e+00,3.862880e-34,2.062270e-29,1.023090e-20,9.615910e-01,2.543570e-27,1.099690e-42,2.052870e-35,4.364200e-24,5.165550e-16,5.465060e-09,5.337480e-04,2.057150e-02,1.730430e-02,1.000000e+00,0.000000e+00
0.001,6.750000e+02,4.656580e-01,-1.875510e+00,1.000130e-32,5.187590e-28,8.595900e-20,9.609040e-01,5.136840e-26,9.906320e-41,1.059280e-33,7.763140e-23,3.833460e-15,1.744120e-08,9.189690e-04,2.335510e-02,1.482190e-02,1.000000e+00,0.000000e+00
0.001,7.000000e+02,4.656580e-01,-1.851120e+00,2.054160e-31,1.034840e-26,6.189420e-19,9.602160e-01,8.331800e-25,6.464220e-39,4.110360e-32,1.117950e-21,2.448510e-14,5.065640e-08,1.498270e-03,2.575680e-02,1.252850e-02,1.000000e+00,0.000000e+00
0.001,7.250000e+02,4.656580e-01,-1.826520e+00,3.427860e-30,1.676820e-25,3.880960e-18,9.595250e-01,1.110330e-23,3.159200e-37,1.235370e-30,1.332280e-20,1.367220e-13,1.352290e-07,2.326660e-03,2.768130e-02,1.046740e-02,1.000000e+00,0.000000e+00
0.001,7.500000e+02,4.656580e-01,-1.801640e+00,4.744880e-29,2.253340e-24,2.148690e-17,9.588200e-01,1.239890e-22,1.190300e-35,2.950310e-29,1.339100e-19,6.764950e-13,3.346350e-07,3.458330e-03,2.906730e-02,8.654500e-03,1.000000e+00,0.000000e+00
0.001,7.750000e+02,4.656580e-01,-1.776430e+00,5.547290e-28,2.557060e-23,1.063110e-16,9.580890e-01,1.180230e-21,3.545600e-34,5.724810e-28,1.154090e-18,3.000970e-12,7.732120e-07,4.940500e-03,2.988330e-02,7.086340e-03,1.000000e+00,0.000000e+00
0.001,8.000000e+02,4.656580e-01,-1.750840e+00,5.564770e-27,2.489380e-22,4.750310e-16,9.573220e-01,9.720300e-21,8.535990e-33,9.202880e-27,8.652190e-18,1.205700e-11,1.678590e-06,6.806190e-03,3.012290e-02,5.747650e-03,1.000000e+00,0.000000e+00
0.001,8.250000e+02,4.656580e-01,-1.724830e+00,4.856850e-26,2.108120e-21,1.934640e-15,9.565090e-01,7.017730e-20,1.693390e-31,1.246720e-25,5.714020e-17,4.426330e-11,3.442120e-06,9.066960e-03,2.980320e-02,4.617490e-03,1.000000e+00,0.000000e+00
0.001,8.500000e+02,4.656580e-01,-1.698400e+00,3.733580e-25,1.572030e-20,7.240050e-15,9.556490e-01,4.492750e-19,2.815930e-30,1.444880e-24,3.361260e-16,1.496420e-10,6.697980e-06,1.170710e-02,2.896370e-02,3.673230e-03,1.000000e+00,0.000000e+00
0.001,8.750000e+02,4.656580e-01,-1.671590e+00,2.555500e-24,1.043480e-19,2.507650e-14,9.547480e-01,2.576610e-18,3.984930e-29,1.451780e-23,1.778560e-15,4.690870e-10,1.241850e-05,1.468070e-02,2.766640e-02,2.892650e-03,1.000000e+00,0.000000e+00
0.001,9.000000e+02,4.656580e-01,-1.644480e+00,1.572530e-23,6.225150e-19,8.090180e-14,9.538170e-01,1.335810e-17,4.864030e-28,1.279750e-22,8.539610e-15,1.371860e-09,2.201930e-05,1.791330e-02,2.599320e-02,2.254800e-03,1.000000e+00,0.000000e+00
0.001,9.250000e+02,4.656580e-01,-1.617170e+00,8.774800e-23,3.366640e-18,2.445160e-13,9.528730e-01,6.311460e-17,5.182740e-27,1.000230e-21,3.749830e-14,3.763840e-09,3.746460e-05,2.130830e-02,2.404080e-02,1.740110e-03,1.000000e+00,0.000000e+00
0.001,9.500000e+02,4.656580e-01,-1.589780e+00,4.474480e-22,1.663340e-17,6.959140e-13,9.519380e-01,2.737720e-16,4.872730e-26,6.997730e-21,1.516550e-13,9.736490e-09,6.136460e-05,2.475700e-02,2.191310e-02,1.330360e-03,1.000000e+00,0.000000e+00
0.001,9.750000e+02,4.656580e-01,-1.562410e+00,2.099540e-21,7.560210e-17,1.873830e-12,9.510310e-01,1.097500e-15,4.081480e-25,4.419910e-20,5.685290e-13,2.385760e-08,9.705710e-05,2.815130e-02,1.971150e-02,1.008640e-03,1.000000e+00,0.000000e+00
0.001,1.000000e+03,4.656580e-01,-1.535170e+00,9.121920e-21,3.181210e-16,4.793650e-12,9.501710e-01,4.090680e-15,3.072280e-24,2.539960e-19,1.987140e-12,5.560940e-08,1.486730e-04,3.139480e-02,1.752650e-02,7.594090e-04,1.000000e+00,0.000000e+00
0.001,1.025000e+03,4.656580e-01,-1.508130e+00,3.690400e-20,1.246340e-15,1.169590e-11,9.493680e-01,1.425460e-14,2.094590e-23,1.337340e-18,6.510080e-12,1.237840e-07,2.211830e-04,3.441070e-02,1.543100e-02,5.687300e-04,1.000000e+00,0.000000e+00
0.001,1.050000e+03,4.656580e-01,-1.481330e+00,1.397320e-19,4.570130e-15,2.731160e-11,9.486310e-01,4.667230e-14,1.302590e-22,6.492580e-18,2.008750e-11,2.640770e-07,3.204380e-04,3.714610e-02,1.347760e-02,4.244200e-04,1.000000e+00,0.000000e+00
0.001,1.075000e+03,4.656580e-01,-1.454770e+00,4.974560e-19,1.575840e-14,6.123310e-11,9.479610e-01,1.442420e-13,7.436470e-22,2.923220e-17,5.863570e-11,5.417260e-07,4.531920e-04,3.957090e-02,1.169820e-02,3.161620e-04,1.000000e+00,0.000000e+00
0.001,1.100000e+03,4.656580e-01,-1.428460e+00,1.672140e-18,5.131620e-14,1.321910e-10,9.473540e-01,4.225280e-13,3.920270e-21,1.227030e-16,1.625670e-10,1.071790e-06,6.271200e-04,4.167490e-02,1.010710e-02,2.354830e-04,1.000000e+00,0.000000e+00
0.001,1.125000e+03,4.656580e-01,-1.402330e+00,5.327260e-18,1.584350e-13,2.755090e-10,9.468040e-01,1.177590e-12,1.918500e-20,4.824750e-16,4.296580e-10,2.050670e-06,8.508090e-04,4.346230e-02,8.704850e-03,1.756150e-04,1.000000e+00,0.000000e+00
0.001,1.150000e+03,4.656580e-01,-1.376350e+00,1.614230e-17,4.654260e-13,5.556760e-10,9.463020e-01,3.133240e-12,8.758120e-20,1.784890e-15,1.086090e-09,3.803720e-06,1.133730e-03,4.494700e-02,7.482600e-03,1.312890e-04,1.000000e+00,0.000000e+00
0.001,1.175000e+03,4.656580e-01,-1.350460e+00,4.667030e-17,1.305150e-12,1.086920e-09,9.458350e-01,7.983790e-12,3.746220e-19,6.237200e-15,2.633690e-09,6.854900e-06,1.486170e-03,4.614730e-02,6.425690e-03,9.847890e-05,1.000000e+00,0.000000e+00
0.001,1.200000e+03,4.656580e-01,-1.324590e+00,1.291210e-16,3.504020e-12,2.065980e-09,9.453950e-01,1.953750e-11,1.507570e-18,2.066260e-14,6.143310e-09,1.202640e-05,1.919140e-03,4.708350e-02,5.516700e-03,7.416160e-05,1.000000e+00,0.000000e+00
0.001,1.225000e+03,4.656580e-01,-1.298670e+00,3.427690e-16,9.031210e-12,3.822820e-09,9.449670e-01,4.603480e-11,5.729090e-18,6.510880e-14,1.381830e-08,2.057730e-05,2.444160e-03,4.777440e-02,4.737530e-03,5.609130e-05,1.000000e+00,0.000000e+00
0.001,1.250000e+03,4.656580e-01,-1.272630e+00,8.752330e-16,2.240130e-11,6.897350e-09,9.445420e-01,1.046840e-10,2.063060e-17,1.957370e-13,3.003990e-08,3.439130e-05,3.073090e-03,4.823690e-02,4.070740e-03,4.261450e-05,1.000000e+00,0.000000e+00
0.001,1.275000e+03,4.656580e-01,-1.246420e+00,2.154530e-15,5.359650e-11,1.215270e-08,9.441080e-01,2.302370e-10,7.062040e-17,5.629810e-13,6.324460e-08,5.622670e-05,3.817800e-03,4.848490e-02,3.500310e-03,3.251940e-05,1.000000e+00,0.000000e+00
0.001,1.300000e+03,4.656580e-01,-1.219940e+00,5.123890e-15,1.239480e-10,2.093890e-08,9.436540e-01,4.906980e-10,2.304700e-16,1.553160e-12,1.291930e-07,9.003870e-05,4.689820e-03,4.852920e-02,3.011950e-03,2.492060e-05,1.000000e+00,0.000000e+00
0.001,1.325000e+03,4.656590e-01,-1.193140e+00,1.179530e-14,2.775970e-10,3.532390e-08,9.431680e-01,1.015240e-09,7.190110e-16,4.119690e-12,2.565000e-07,1.413890e-04,5.699870e-03,4.837790e-02,2.593240e-03,1.917140e-05,1.000000e+00,0.000000e+00
0.001,1.350000e+03,4.656590e-01,-1.165940e+00,2.633040e-14,6.031580e-10,5.841400e-08,9.426400e-01,2.042420e-09,2.149720e-15,1.052890e-11,4.957300e-07,2.179480e-04,6.857350e-03,4.803630e-02,2.233520e-03,1.479870e-05,1.000000e+00,0.000000e+00
0.001,1.375000e+03,4.656590e-01,-1.138240e+00,5.709160e-14,1.273490e-09,9.478980e-08,9.420560e-01,4.001200e-09,6.173950e-15,2.598010e-11,9.339670e-07,3.301060e-04,8.169700e-03,4.750810e-02,1.923740e-03,1.145560e-05,1.000000e+00,0.000000e+00
0.001,1.400000e+03,4.656600e-01,-1.109960e+00,1.204270e-13,2.616720e-09,1.510860e-07,9.414040e-01,7.643530e-09,1.706920e-14,6.200770e-11,1.717570e-06,4.916830e-04,9.641750e-03,4.679510e-02,1.656270e-03,8.886860e-06,1.000000e+00,0.000000e+00
0.001,1.425000e+03,4.656610e-01,-1.080980e+00,2.474760e-13,5.239920e-09,2.367520e-07,9.406710e-01,1.425610e-08,4.552020e-14,1.433970e-10,3.086850e-06,7.207400e-04,1.127490e-02,4.589830e-02,1.424750e-03,6.903790e-06,1.000000e+00,0.000000e+00
0.001,1.450000e+03,4.656630e-01,-1.051190e+00,4.961150e-13,1.023890e-08,3.650300e-07,9.398400e-01,2.599020e-08,1.173120e-13,3.218190e-10,5.427620e-06,1.040470e-03,1.306640e-02,4.481830e-02,1.223820e-03,5.366280e-06,1.000000e+00,0.000000e+00
0.001,1.475000e+03,4.656660e-01,-1.020430e+00,9.714330e-13,1.954600e-08,5.541860e-07,9.388930e-01,4.636330e-08,2.926770e-13,7.019430e-10,9.346100e-06,1.480140e-03,1.500820e-02,4.355540e-02,1.049050e-03,4.169690e-06,1.000000e+00,0.000000e+00
0.001,1.500000e+03,4.656720e-01,-9.885380e-01,1.860060e-12,3.649360e-08,8.290420e-07,9.378100e-01,8.100470e-08,7.080160e-13,1.490050e-09,1.577530e-05,2.076000e-03,1.708630e-02,4.211060e-02,8.967110e-04,3.235450e-06,1.000000e+00,0.000000e+00
0.001,1.525000e+03,4.656810e-01,-9.553130e-01,3.486530e-12,6.670670e-08,1.222830e-06,9.365690e-01,1.387380e-07,1.663280e-12,3.082140e-09,2.612210e-05,2.872150e-03,1.927950e-02,4.048590e-02,7.637210e-04,2.504240e-06,1.000000e+00,0.000000e+00
0.001,1.550000e+03,4.656960e-01,-9.205190e-01,6.404010e-12,1.194870e-07,1.779400e-06,9.351410e-01,2.331180e-07,3.799900e-12,6.219630e-09,4.246700e-05,3.921150e-03,2.155880e-02,3.868460e-02,6.474990e-04,1.930990e-06,1.000000e+00,0.000000e+00
0.001,1.575000e+03,4.657190e-01,-8.838890e-01,1.153750e-11,2.099180e-07,2.555800e-06,9.334990e-01,3.845500e-07,8.453550e-12,1.225760e-08,6.782620e-05,5.284250e-03,2.388610e-02,3.671220e-02,5.458940e-04,1.481270e-06,1.000000e+00,0.000000e+00
0.001,1.600000e+03,4.657540e-01,-8.451160e-01,2.040570e-11,3.619870e-07,3.625180e-06,9.316090e-01,6.231640e-07,1.833610e-11,2.361580e-08,1.064890e-04,7.031160e-03,2.621380e-02,3.457660e-02,4.571120e-04,1.128630e-06,1.000000e+00,0.000000e+00
0.001,1.625000e+03,4.658060e-01,-8.038590e-01,3.545950e-11,6.131480e-07,5.079970e-06,9.294360e-01,9.925690e-07,3.882260e-11,4.451960e-08,1.644340e-04,9.238850e-03,2.848430e-02,3.228930e-02,3.796500e-04,8.526010e-07,1.000000e+00,0.000000e+00
0.001,1.650000e+03,4.658840e-01,-7.597440e-01,6.058830e-11,1.020820e-06,7.035250e-06,9.269430e-01,1.554640e-06,8.032430e-11,8.218870e-08,2.498360e-04,1.198930e-02,3.062990e-02,2.986580e-02,3.122530e-04,6.372820e-07,1.000000e+00,0.000000e+00
0.001,1.675000e+03,4.659980e-01,-7.123800e-01,1.018670e-10,1.671480e-06,9.632110e-06,9.240920e-01,2.395400e-06,1.625710e-10,1.487000e-07,3.736330e-04,1.536580e-02,3.257370e-02,2.732620e-02,2.538660e-04,4.702080e-07,1.000000e+00,0.000000e+00
0.001,1.700000e+03,4.661600e-01,-6.613710e-01,1.686420e-10,2.693070e-06,1.304070e-05,9.208510e-01,3.631890e-06,3.221760e-10,2.638410e-07,5.501490e-04,1.944750e-02,3.423080e-02,2.469670e-02,2.035960e-04,3.415540e-07,1.000000e+00,0.000000e+00
0.001,1.725000e+03,4.663900e-01,-6.063460e-01,2.750820e-10,4.271510e-06,1.746270e-05,9.171910e-01,5.419830e-06,6.257430e-10,4.593730e-07,7.977010e-04,2.430130e-02,3.551210e-02,2.200980e-02,1.606810e-04,2.435090e-07,1.000000e+00,0.000000e+00
0.001,1.750000e+03,4.667090e-01,-5.469950e-01,4.423720e-10,6.672300e-06,2.313250e-05,9.130920e-01,7.961350e-06,1.192130e-09,7.852550e-07,1.139110e-03,2.997270e-02,3.632830e-02,1.930440e-02,1.244530e-04,1.698040e-07,1.000000e+00,0.000000e+00
0.001,1.775000e+03,4.671440e-01,-4.831170e-01,7.017730e-10,1.026760e-05,3.031740e-05,9.085540e-01,1.151200e-05,2.229640e-09,1.318490e-06,1.601990e-03,3.647300e-02,3.659650e-02,1.662630e-02,9.431020e-05,1.153640e-07,1.000000e+00,0.000000e+00
0.001,1.800000e+03,4.677280e-01,-4.146760e-01,1.098840e-09,1.556960e-05,3.931440e-05,9.035950e-01,1.638510e-05,4.096920e-09,2.175360e-06,2.218630e-03,4.376680e-02,3.624960e-02,1.402670e-02,6.968530e-05,7.603270e-08,1.000000e+00,0.000000e+00
0.001,1.825000e+03,4.684990e-01,-3.418630e-01,1.699160e-09,2.326990e-05,5.044620e-05,8.982600e-01,2.295220e-05,7.401330e-09,3.527890e-06,3.025370e-03,5.175850e-02,3.524600e-02,1.156030e-02,5.002090e-05,4.838570e-08,1.000000e+00,0.000000e+00
0.001,1.850000e+03,4.694960e-01,-2.651490e-01,2.596160e-09,3.428400e-05,6.405290e-05,8.926230e-01,3.163730e-05,1.315500e-08,5.625390e-06,4.061170e-03,6.028330e-02,3.358130e-02,9.281250e-03,3.474690e-05,2.958740e-08,1.000000e+00,0.000000e+00
0.001,1.875000e+03,4.707620e-01,-1.853200e-01,3.921510e-09,4.980050e-05,8.048280e-05,8.867890e-01,4.290260e-05,2.301860e-08,8.821690e-06,5.365430e-03,6.910360e-02,3.129740e-02,7.238700e-03,2.326930e-05,1.730170e-08,1.000000e+00,0.000000e+00
0.001,1.900000e+03,4.723370e-01,-1.034590e-01,5.859030e-09,7.133260e-05,1.000810e-04,8.808910e-01,5.722770e-05,3.967770e-08,1.360890e-05,6.975280e-03,7.791800e-02,2.848810e-02,5.470650e-03,1.497140e-05,9.633290e-09,1.000000e+00,0.000000e+00
0.001,1.925000e+03,4.742560e-01,-2.087060e-02,8.662980e-09,1.007720e-04,1.231820e-04,8.750710e-01,7.508320e-05,6.741310e-08,2.065810e-05,8.922580e-03,8.638330e-02,2.529550e-02,3.998500e-03,9.229870e-06,5.089820e-09,1.000000e+00,0.000000e+00
0.001,1.950000e+03,4.765460e-01,6.106960e-02,1.268200e-08,1.404450e-04,1.501010e-04,8.694730e-01,9.690530e-05,1.129570e-07,3.086830e-05,1.123150e-02,9.415080e-02,2.189740e-02,2.823470e-03,5.444370e-06,2.547190e-09,1.000000e+00,0.000000e+00
0.001,1.975000e+03,4.792260e-01,1.411050e-01,1.839010e-08,1.931780e-04,1.811360e-04,8.642170e-01,1.230780e-04,1.867600e-07,4.542470e-05,1.391740e-02,1.009090e-01,1.848360e-02,1.926450e-03,3.073020e-06,1.207520e-09,1.000000e+00,0.000000e+00
0.001,2.000000e+03,4.823030e-01,2.182920e-01,2.642610e-08,2.623700e-04,2.165690e-04,8.593850e-01,1.539270e-04,3.048390e-07,6.586980e-05,1.698710e-02,1.064260e-01,1.522920e-02,1.271840e-03,1.662810e-06,5.434740e-10,1.000000e+00,0.000000e+00
0.001,2.025000e+03,4.857770e-01,2.921240e-01,3.764430e-08,3.520830e-04,2.566820e-04,8.550120e-01,1.897310e-04,4.914520e-07,9.418850e-05,2.044090e-02,1.105680e-01,1.227020e-02,8.145950e-04,8.654800e-07,2.332100e-10,1.000000e+00,0.000000e+00
0.001,2.050000e+03,4.896460e-01,3.625620e-01,5.317640e-08,4.671490e-04,3.017540e-04,8.510850e-01,2.307320e-04,7.829080e-07,1.329110e-04,2.427460e-02,1.133080e-01,9.690600e-03,5.079070e-04,4.352970e-07,9.595250e-11,1.000000e+00,0.000000e+00
0.001,2.075000e+03,4.939020e-01,4.299580e-01,7.451070e-08,6.132890e-04,3.520730e-04,8.475560e-01,2.771500e-04,1.232950e-06,1.852370e-04,2.848160e-02,1.147020e-01,7.521770e-03,3.094820e-04,2.126360e-07,3.809380e-11,1.000000e+00,0.000000e+00
0.001,2.100000e+03,4.985400e-01,4.949290e-01,1.035880e-07,7.972260e-04,4.079270e-04,8.443520e-01,3.291870e-04,1.920290e-06,2.551710e-04,3.305320e-02,1.148650e-01,5.753010e-03,1.849920e-04,1.013900e-07,1.468450e-11,1.000000e+00,0.000000e+00
0.001,2.125000e+03,5.035520e-01,5.582130e-01,1.429200e-07,1.026810e-03,4.695960e-04,8.413940e-01,3.870170e-04,2.958970e-06,3.476840e-04,3.797790e-02,1.139390e-01,4.346070e-03,1.088470e-04,4.740390e-08,5.527150e-12,1.000000e+00,0.000000e+00
0.001,2.150000e+03,5.089280e-01,6.205610e-01,1.957360e-07,1.311110e-03,5.373400e-04,8.386020e-01,4.507650e-04,4.512630e-06,4.688810e-04,4.324040e-02,1.120730e-01,3.249130e-03,6.321980e-05,2.181250e-08,2.040730e-12,1.000000e+00,0.000000e+00
0.001,2.175000e+03,5.146570e-01,6.826590e-01,2.661530e-07,1.660510e-03,6.113830e-04,8.359050e-01,5.204890e-04,6.813790e-06,6.261830e-04,4.881920e-02,1.094060e-01,2.407460e-03,3.632420e-05,9.905960e-09,7.417050e-13,1.000000e+00,0.000000e+00
0.001,2.200000e+03,5.207190e-01,7.450960e-01,3.593910e-07,2.086760e-03,6.918980e-04,8.332440e-01,5.961450e-04,1.018980e-05,8.285200e-04,5.468520e-02,1.060660e-01,1.769840e-03,2.067760e-05,4.448780e-09,2.660100e-13,1.000000e+00,0.000000e+00
0.001,2.225000e+03,5.270900e-01,8.083510e-01,4.820250e-07,2.603040e-03,7.789950e-04,8.305690e-01,6.775750e-04,1.509730e-05,1.086500e-03,6.080030e-02,1.021650e-01,1.291800e-03,1.167310e-05,1.978220e-09,9.428600e-14,1.000000e+00,0.000000e+00
0.001,2.250000e+03,5.337410e-01,8.728010e-01,6.422800e-07,3.223910e-03,8.727010e-04,8.278430e-01,7.644690e-04,2.216780e-05,1.412630e-03,6.711620e-02,9.780100e-02,9.365010e-04,6.538260e-06,8.714990e-10,3.305250e-14,1.000000e+00,0.000000e+00
0.001,2.275000e+03,5.406320e-01,9.387350e-01,8.503890e-07,3.965300e-03,9.729540e-04,8.250370e-01,8.563570e-04,3.226750e-05,1.821420e-03,7.357450e-02,9.306170e-02,6.744330e-04,3.634080e-06,3.804370e-10,1.146160e-14,1.000000e+00,0.000000e+00
0.001,2.300000e+03,5.477210e-01,1.006380e+00,1.119000e-06,4.844400e-03,1.079590e-03,8.221270e-01,9.525990e-04,4.657490e-05,2.329580e-03,8.010680e-02,8.802750e-02,4.824720e-04,2.004150e-06,1.645270e-10,3.930490e-15,1.000000e+00,0.000000e+00
0.001,2.325000e+03,5.549570e-01,1.075900e+00,1.463680e-06,5.879550e-03,1.192350e-03,8.191000e-01,1.052370e-03,6.668050e-05,2.956090e-03,8.663520e-02,8.277270e-02,3.427990e-04,1.096300e-06,7.045820e-11,1.332180e-15,1.000000e+00,0.000000e+00
0.001,2.350000e+03,5.622920e-01,1.147450e+00,1.903450e-06,7.089980e-03,1.310840e-03,8.159410e-01,1.154690e-03,9.471480e-05,3.722250e-03,9.307420e-02,7.736770e-02,2.418430e-04,5.945790e-07,2.986060e-11,4.459060e-16,1.000000e+00,0.000000e+00
0.001,2.375000e+03,5.696720e-01,1.221170e+00,2.461440e-06,8.495620e-03,1.434560e-03,8.126430e-01,1.258390e-03,1.335110e-04,4.651660e-03,9.933200e-02,7.187940e-02,1.693640e-04,3.195490e-07,1.251470e-11,1.472620e-16,1.000000e+00,0.000000e+00
0.001,2.400000e+03,5.770500e-01,1.297190e+00,3.165670e-06,1.011670e-02,1.562890e-03,8.091960e-01,1.362160e-03,1.868100e-04,5.770160e-03,1.053130e-01,6.637120e-02,1.176950e-04,1.700860e-07,5.182750e-12,4.793670e-17,1.000000e+00,0.000000e+00
0.001,2.425000e+03,5.843830e-01,1.375680e+00,4.049850e-06,1.197340e-02,1.695090e-03,8.055930e-01,1.464580e-03,2.595170e-04,7.105590e-03,1.109200e-01,6.090320e-02,8.113130e-05,8.960780e-08,2.119110e-12,1.536460e-17,1.000000e+00,0.000000e+00
0.001,2.450000e+03,5.916420e-01,1.456850e+00,5.154340e-06,1.408540e-02,1.830310e-03,8.018250e-01,1.564120e-03,3.580210e-04,8.687560e-03,1.160580e-01,5.553110e-02,5.545650e-05,4.669840e-08,8.547490e-13,4.843810e-18,1.000000e+00,0.000000e+00
0.001,2.475000e+03,5.988090e-01,1.540930e+00,6.527280e-06,1.647120e-02,1.967580e-03,7.978810e-01,1.659210e-03,4.905910e-04,1.054700e-02,1.206340e-01,5.030520e-02,3.757390e-05,2.405850e-08,3.398150e-13,1.500360e-18,1.000000e+00,0.000000e+00
0.001,2.500000e+03,6.058870e-01,1.628220e+00,8.225730e-06,1.914780e-02,2.105800e-03,7.937480e-01,1.748220e-03,6.678630e-04,1.271570e-02,1.245630e-01,4.527040e-02,2.522430e-05,1.224530e-08,1.330400e-13,4.561000e-19,1.000000e+00,0.000000e+00
0.001,2.525000e+03,6.129000e-01,1.719080e+00,1.031710e-05,2.212990e-02,2.243800e-03,7.894100e-01,1.829560e-03,9.034320e-04,1.522540e-02,1.277660e-01,4.046480e-02,1.677160e-05,6.153320e-09,5.124640e-14,1.359190e-19,1.000000e+00,0.000000e+00
0.001,2.550000e+03,6.199000e-01,1.813910e+00,1.288040e-05,2.542880e-02,2.380280e-03,7.848480e-01,1.901660e-03,1.214570e-03,1.810720e-02,1.301760e-01,3.591960e-02,1.103970e-05,3.050590e-09,1.940260e-14,3.965740e-20,1.000000e+00,0.000000e+00
0.001,2.575000e+03,6.269720e-01,1.913180e+00,1.600830e-05,2.905200e-02,2.513860e-03,7.800380e-01,1.963060e-03,1.623120e-03,2.139030e-02,1.317370e-01,3.165890e-02,7.190530e-06,1.490920e-09,7.212940e-15,1.131370e-20,1.000000e+00,0.000000e+00
0.001,2.600000e+03,6.342340e-01,2.017380e+00,1.980820e-05,3.300200e-02,2.643040e-03,7.749550e-01,2.012390e-03,2.156500e-03,2.510070e-02,1.324060e-01,2.769950e-02,4.631710e-06,7.176950e-10,2.629700e-15,3.151220e-21,1.000000e+00,0.000000e+00
